2648_SD,2649_SD,2660_SD,2661_SD,2662_SD,2663_SD,2990_SD,2994_SD,2995_SD,2999_SD,3004_SD
WT,Cre,WT,Cre,Cre,WT,WT,WT,Cre,WT,Cre
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored,Unscored
