3226_1,3226_2,3227_1,3227_2,3228_1,3228_2,3229_1,3229_2,3238_1,3238_2,3243_1,3243_2,3245_1,3245_2,3247_1,3247_2,3257_1,3257_2,3749.1,3749.2,3745.1,3745.2,3744.1,3744.2,4635_1,4635_2,4639_1,4639_2,4642_1,4642_2,4643_1,4643_2,4644_1,4644_2,4645_1,4645_2,4647_1,4647_2,4662_1,4662_2,4664_1,4664_2,4668_1,4668_2,4669_1,4669_2,4670_1,4670_2
Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gq,CNO_Gq,Sal_Gq,CNO_Gq,Sal_Gq,CNO_Gq,Sal_Gq,CNO_Gq,Sal_Gi,CNO_Gi,Sal_Gq,CNO_Gq,Sal_mcherry,CNO_mcherry,Sal_mcherry,CNO_mcherry,Sal_Gq,CNO_Gq,Sal_Gq,CNO_Gq,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_Gi,CNO_Gi,Sal_mcherry,CNO_mcherry,Sal_mcherry,CNO_mcherry,Sal_mcherry,CNO_mcherry,Sal_mcherry,CNO_mcherry,Sal_mcherry,CNO_mcherry
Wake,NREM,NREM,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,NREM,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,NREM,NREM,NREM,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,NREM,NREM,NREM,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,NREM,NREM,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake
