Epoch #,Start Time,End Time,Score #, Score
1,06/08/2021 10:53:58,06/08/2021 10:54:01,2,Non REM
2,06/08/2021 10:54:01,06/08/2021 10:54:04,2,Non REM
3,06/08/2021 10:54:04,06/08/2021 10:54:07,2,Non REM
4,06/08/2021 10:54:07,06/08/2021 10:54:10,2,Non REM
5,06/08/2021 10:54:10,06/08/2021 10:54:13,2,Non REM
6,06/08/2021 10:54:13,06/08/2021 10:54:16,2,Non REM
7,06/08/2021 10:54:16,06/08/2021 10:54:19,2,Non REM
8,06/08/2021 10:54:19,06/08/2021 10:54:22,1,Wake
9,06/08/2021 10:54:22,06/08/2021 10:54:25,2,Non REM
10,06/08/2021 10:54:25,06/08/2021 10:54:28,2,Non REM
11,06/08/2021 10:54:28,06/08/2021 10:54:31,2,Non REM
12,06/08/2021 10:54:31,06/08/2021 10:54:34,1,Wake
13,06/08/2021 10:54:34,06/08/2021 10:54:37,1,Wake
14,06/08/2021 10:54:37,06/08/2021 10:54:40,1,Wake
15,06/08/2021 10:54:40,06/08/2021 10:54:43,1,Wake
16,06/08/2021 10:54:43,06/08/2021 10:54:46,2,Non REM
17,06/08/2021 10:54:46,06/08/2021 10:54:49,2,Non REM
18,06/08/2021 10:54:49,06/08/2021 10:54:52,2,Non REM
19,06/08/2021 10:54:52,06/08/2021 10:54:55,2,Non REM
20,06/08/2021 10:54:55,06/08/2021 10:54:58,2,Non REM
21,06/08/2021 10:54:58,06/08/2021 10:55:01,2,Non REM
22,06/08/2021 10:55:01,06/08/2021 10:55:04,2,Non REM
23,06/08/2021 10:55:04,06/08/2021 10:55:07,2,Non REM
24,06/08/2021 10:55:07,06/08/2021 10:55:10,2,Non REM
25,06/08/2021 10:55:10,06/08/2021 10:55:13,2,Non REM
26,06/08/2021 10:55:13,06/08/2021 10:55:16,2,Non REM
27,06/08/2021 10:55:16,06/08/2021 10:55:19,2,Non REM
28,06/08/2021 10:55:19,06/08/2021 10:55:22,2,Non REM
29,06/08/2021 10:55:22,06/08/2021 10:55:25,2,Non REM
30,06/08/2021 10:55:25,06/08/2021 10:55:28,2,Non REM
31,06/08/2021 10:55:28,06/08/2021 10:55:31,2,Non REM
32,06/08/2021 10:55:31,06/08/2021 10:55:34,2,Non REM
33,06/08/2021 10:55:34,06/08/2021 10:55:37,2,Non REM
34,06/08/2021 10:55:37,06/08/2021 10:55:40,2,Non REM
35,06/08/2021 10:55:40,06/08/2021 10:55:43,2,Non REM
36,06/08/2021 10:55:43,06/08/2021 10:55:46,2,Non REM
37,06/08/2021 10:55:46,06/08/2021 10:55:49,2,Non REM
38,06/08/2021 10:55:49,06/08/2021 10:55:52,2,Non REM
39,06/08/2021 10:55:52,06/08/2021 10:55:55,2,Non REM
40,06/08/2021 10:55:55,06/08/2021 10:55:58,2,Non REM
41,06/08/2021 10:55:58,06/08/2021 10:56:01,2,Non REM
42,06/08/2021 10:56:01,06/08/2021 10:56:04,2,Non REM
43,06/08/2021 10:56:04,06/08/2021 10:56:07,2,Non REM
44,06/08/2021 10:56:07,06/08/2021 10:56:10,2,Non REM
45,06/08/2021 10:56:10,06/08/2021 10:56:13,2,Non REM
46,06/08/2021 10:56:13,06/08/2021 10:56:16,2,Non REM
47,06/08/2021 10:56:16,06/08/2021 10:56:19,2,Non REM
48,06/08/2021 10:56:19,06/08/2021 10:56:22,2,Non REM
49,06/08/2021 10:56:22,06/08/2021 10:56:25,2,Non REM
