Epoch #,Start Time,End Time,Score #, Score
1,06/15/2021 12:04:23,06/15/2021 12:04:26,1,Wake
2,06/15/2021 12:04:26,06/15/2021 12:04:29,1,Wake
3,06/15/2021 12:04:29,06/15/2021 12:04:32,1,Wake
4,06/15/2021 12:04:32,06/15/2021 12:04:35,1,Wake
5,06/15/2021 12:04:35,06/15/2021 12:04:38,1,Wake
6,06/15/2021 12:04:38,06/15/2021 12:04:41,1,Wake
7,06/15/2021 12:04:41,06/15/2021 12:04:44,1,Wake
8,06/15/2021 12:04:44,06/15/2021 12:04:47,1,Wake
9,06/15/2021 12:04:47,06/15/2021 12:04:50,1,Wake
10,06/15/2021 12:04:50,06/15/2021 12:04:53,1,Wake
11,06/15/2021 12:04:53,06/15/2021 12:04:56,1,Wake
12,06/15/2021 12:04:56,06/15/2021 12:04:59,1,Wake
13,06/15/2021 12:04:59,06/15/2021 12:05:02,1,Wake
14,06/15/2021 12:05:02,06/15/2021 12:05:05,1,Wake
15,06/15/2021 12:05:05,06/15/2021 12:05:08,1,Wake
16,06/15/2021 12:05:08,06/15/2021 12:05:11,1,Wake
17,06/15/2021 12:05:11,06/15/2021 12:05:14,1,Wake
18,06/15/2021 12:05:14,06/15/2021 12:05:17,1,Wake
19,06/15/2021 12:05:17,06/15/2021 12:05:20,1,Wake
20,06/15/2021 12:05:20,06/15/2021 12:05:23,1,Wake
21,06/15/2021 12:05:23,06/15/2021 12:05:26,1,Wake
22,06/15/2021 12:05:26,06/15/2021 12:05:29,1,Wake
23,06/15/2021 12:05:29,06/15/2021 12:05:32,1,Wake
24,06/15/2021 12:05:32,06/15/2021 12:05:35,1,Wake
25,06/15/2021 12:05:35,06/15/2021 12:05:38,1,Wake
26,06/15/2021 12:05:38,06/15/2021 12:05:41,1,Wake
27,06/15/2021 12:05:41,06/15/2021 12:05:44,1,Wake
28,06/15/2021 12:05:44,06/15/2021 12:05:47,1,Wake
29,06/15/2021 12:05:47,06/15/2021 12:05:50,1,Wake
30,06/15/2021 12:05:50,06/15/2021 12:05:53,1,Wake
31,06/15/2021 12:05:53,06/15/2021 12:05:56,1,Wake
32,06/15/2021 12:05:56,06/15/2021 12:05:59,1,Wake
33,06/15/2021 12:05:59,06/15/2021 12:06:02,1,Wake
34,06/15/2021 12:06:02,06/15/2021 12:06:05,1,Wake
35,06/15/2021 12:06:05,06/15/2021 12:06:08,1,Wake
36,06/15/2021 12:06:08,06/15/2021 12:06:11,1,Wake
37,06/15/2021 12:06:11,06/15/2021 12:06:14,1,Wake
38,06/15/2021 12:06:14,06/15/2021 12:06:17,1,Wake
39,06/15/2021 12:06:17,06/15/2021 12:06:20,1,Wake
40,06/15/2021 12:06:20,06/15/2021 12:06:23,1,Wake
41,06/15/2021 12:06:23,06/15/2021 12:06:26,1,Wake
42,06/15/2021 12:06:26,06/15/2021 12:06:29,1,Wake
43,06/15/2021 12:06:29,06/15/2021 12:06:32,1,Wake
44,06/15/2021 12:06:32,06/15/2021 12:06:35,1,Wake
45,06/15/2021 12:06:35,06/15/2021 12:06:38,1,Wake
46,06/15/2021 12:06:38,06/15/2021 12:06:41,1,Wake
47,06/15/2021 12:06:41,06/15/2021 12:06:44,1,Wake
48,06/15/2021 12:06:44,06/15/2021 12:06:47,1,Wake
49,06/15/2021 12:06:47,06/15/2021 12:06:50,1,Wake
50,06/15/2021 12:06:50,06/15/2021 12:06:53,1,Wake
51,06/15/2021 12:06:53,06/15/2021 12:06:56,1,Wake
52,06/15/2021 12:06:56,06/15/2021 12:06:59,2,Non REM
53,06/15/2021 12:06:59,06/15/2021 12:07:02,2,Non REM
54,06/15/2021 12:07:02,06/15/2021 12:07:05,2,Non REM
55,06/15/2021 12:07:05,06/15/2021 12:07:08,2,Non REM
56,06/15/2021 12:07:08,06/15/2021 12:07:11,1,Wake
57,06/15/2021 12:07:11,06/15/2021 12:07:14,1,Wake
58,06/15/2021 12:07:14,06/15/2021 12:07:17,1,Wake
59,06/15/2021 12:07:17,06/15/2021 12:07:20,1,Wake
60,06/15/2021 12:07:20,06/15/2021 12:07:23,2,Non REM
61,06/15/2021 12:07:23,06/15/2021 12:07:26,2,Non REM
62,06/15/2021 12:07:26,06/15/2021 12:07:29,2,Non REM
63,06/15/2021 12:07:29,06/15/2021 12:07:32,2,Non REM
64,06/15/2021 12:07:32,06/15/2021 12:07:35,2,Non REM
65,06/15/2021 12:07:35,06/15/2021 12:07:38,2,Non REM
66,06/15/2021 12:07:38,06/15/2021 12:07:41,2,Non REM
67,06/15/2021 12:07:41,06/15/2021 12:07:44,2,Non REM
68,06/15/2021 12:07:44,06/15/2021 12:07:47,2,Non REM
69,06/15/2021 12:07:47,06/15/2021 12:07:50,2,Non REM
70,06/15/2021 12:07:50,06/15/2021 12:07:53,2,Non REM
71,06/15/2021 12:07:53,06/15/2021 12:07:56,2,Non REM
72,06/15/2021 12:07:56,06/15/2021 12:07:59,2,Non REM
73,06/15/2021 12:07:59,06/15/2021 12:08:02,2,Non REM
74,06/15/2021 12:08:02,06/15/2021 12:08:05,2,Non REM
75,06/15/2021 12:08:05,06/15/2021 12:08:08,2,Non REM
76,06/15/2021 12:08:08,06/15/2021 12:08:11,2,Non REM
77,06/15/2021 12:08:11,06/15/2021 12:08:14,2,Non REM
78,06/15/2021 12:08:14,06/15/2021 12:08:17,2,Non REM
79,06/15/2021 12:08:17,06/15/2021 12:08:20,2,Non REM
80,06/15/2021 12:08:20,06/15/2021 12:08:23,2,Non REM
81,06/15/2021 12:08:23,06/15/2021 12:08:26,2,Non REM
82,06/15/2021 12:08:26,06/15/2021 12:08:29,2,Non REM
83,06/15/2021 12:08:29,06/15/2021 12:08:32,2,Non REM
84,06/15/2021 12:08:32,06/15/2021 12:08:35,2,Non REM
85,06/15/2021 12:08:35,06/15/2021 12:08:38,2,Non REM
86,06/15/2021 12:08:38,06/15/2021 12:08:41,2,Non REM
87,06/15/2021 12:08:41,06/15/2021 12:08:44,2,Non REM
88,06/15/2021 12:08:44,06/15/2021 12:08:47,2,Non REM
89,06/15/2021 12:08:47,06/15/2021 12:08:50,1,Wake
90,06/15/2021 12:08:50,06/15/2021 12:08:53,1,Wake
91,06/15/2021 12:08:53,06/15/2021 12:08:56,1,Wake
92,06/15/2021 12:08:56,06/15/2021 12:08:59,1,Wake
93,06/15/2021 12:08:59,06/15/2021 12:09:02,1,Wake
94,06/15/2021 12:09:02,06/15/2021 12:09:05,1,Wake
95,06/15/2021 12:09:05,06/15/2021 12:09:08,1,Wake
96,06/15/2021 12:09:08,06/15/2021 12:09:11,1,Wake
97,06/15/2021 12:09:11,06/15/2021 12:09:14,1,Wake
98,06/15/2021 12:09:14,06/15/2021 12:09:17,1,Wake
99,06/15/2021 12:09:17,06/15/2021 12:09:20,1,Wake
100,06/15/2021 12:09:20,06/15/2021 12:09:23,1,Wake
101,06/15/2021 12:09:23,06/15/2021 12:09:26,1,Wake
102,06/15/2021 12:09:26,06/15/2021 12:09:29,1,Wake
103,06/15/2021 12:09:29,06/15/2021 12:09:32,1,Wake
104,06/15/2021 12:09:32,06/15/2021 12:09:35,1,Wake
105,06/15/2021 12:09:35,06/15/2021 12:09:38,1,Wake
106,06/15/2021 12:09:38,06/15/2021 12:09:41,1,Wake
107,06/15/2021 12:09:41,06/15/2021 12:09:44,1,Wake
108,06/15/2021 12:09:44,06/15/2021 12:09:47,1,Wake
109,06/15/2021 12:09:47,06/15/2021 12:09:50,1,Wake
110,06/15/2021 12:09:50,06/15/2021 12:09:53,1,Wake
111,06/15/2021 12:09:53,06/15/2021 12:09:56,1,Wake
112,06/15/2021 12:09:56,06/15/2021 12:09:59,1,Wake
113,06/15/2021 12:09:59,06/15/2021 12:10:02,1,Wake
114,06/15/2021 12:10:02,06/15/2021 12:10:05,1,Wake
115,06/15/2021 12:10:05,06/15/2021 12:10:08,1,Wake
116,06/15/2021 12:10:08,06/15/2021 12:10:11,255,Unscored
117,06/15/2021 12:10:11,06/15/2021 12:10:14,2,Non REM
118,06/15/2021 12:10:14,06/15/2021 12:10:17,2,Non REM
119,06/15/2021 12:10:17,06/15/2021 12:10:20,2,Non REM
120,06/15/2021 12:10:20,06/15/2021 12:10:23,2,Non REM
121,06/15/2021 12:10:23,06/15/2021 12:10:26,2,Non REM
122,06/15/2021 12:10:26,06/15/2021 12:10:29,2,Non REM
123,06/15/2021 12:10:29,06/15/2021 12:10:32,2,Non REM
124,06/15/2021 12:10:32,06/15/2021 12:10:35,2,Non REM
125,06/15/2021 12:10:35,06/15/2021 12:10:38,2,Non REM
126,06/15/2021 12:10:38,06/15/2021 12:10:41,2,Non REM
127,06/15/2021 12:10:41,06/15/2021 12:10:44,1,Wake
128,06/15/2021 12:10:44,06/15/2021 12:10:47,1,Wake
129,06/15/2021 12:10:47,06/15/2021 12:10:50,1,Wake
130,06/15/2021 12:10:50,06/15/2021 12:10:53,1,Wake
131,06/15/2021 12:10:53,06/15/2021 12:10:56,1,Wake
132,06/15/2021 12:10:56,06/15/2021 12:10:59,1,Wake
133,06/15/2021 12:10:59,06/15/2021 12:11:02,1,Wake
134,06/15/2021 12:11:02,06/15/2021 12:11:05,1,Wake
135,06/15/2021 12:11:05,06/15/2021 12:11:08,2,Non REM
136,06/15/2021 12:11:08,06/15/2021 12:11:11,2,Non REM
137,06/15/2021 12:11:11,06/15/2021 12:11:14,1,Wake
138,06/15/2021 12:11:14,06/15/2021 12:11:17,1,Wake
139,06/15/2021 12:11:17,06/15/2021 12:11:20,1,Wake
140,06/15/2021 12:11:20,06/15/2021 12:11:23,2,Non REM
141,06/15/2021 12:11:23,06/15/2021 12:11:26,2,Non REM
142,06/15/2021 12:11:26,06/15/2021 12:11:29,2,Non REM
143,06/15/2021 12:11:29,06/15/2021 12:11:32,2,Non REM
144,06/15/2021 12:11:32,06/15/2021 12:11:35,2,Non REM
145,06/15/2021 12:11:35,06/15/2021 12:11:38,2,Non REM
146,06/15/2021 12:11:38,06/15/2021 12:11:41,2,Non REM
147,06/15/2021 12:11:41,06/15/2021 12:11:44,2,Non REM
148,06/15/2021 12:11:44,06/15/2021 12:11:47,2,Non REM
149,06/15/2021 12:11:47,06/15/2021 12:11:50,2,Non REM
150,06/15/2021 12:11:50,06/15/2021 12:11:53,2,Non REM
151,06/15/2021 12:11:53,06/15/2021 12:11:56,2,Non REM
152,06/15/2021 12:11:56,06/15/2021 12:11:59,2,Non REM
153,06/15/2021 12:11:59,06/15/2021 12:12:02,2,Non REM
154,06/15/2021 12:12:02,06/15/2021 12:12:05,1,Wake
155,06/15/2021 12:12:05,06/15/2021 12:12:08,1,Wake
156,06/15/2021 12:12:08,06/15/2021 12:12:11,2,Non REM
157,06/15/2021 12:12:11,06/15/2021 12:12:14,2,Non REM
158,06/15/2021 12:12:14,06/15/2021 12:12:17,2,Non REM
159,06/15/2021 12:12:17,06/15/2021 12:12:20,2,Non REM
160,06/15/2021 12:12:20,06/15/2021 12:12:23,2,Non REM
161,06/15/2021 12:12:23,06/15/2021 12:12:26,2,Non REM
162,06/15/2021 12:12:26,06/15/2021 12:12:29,2,Non REM
163,06/15/2021 12:12:29,06/15/2021 12:12:32,2,Non REM
164,06/15/2021 12:12:32,06/15/2021 12:12:35,2,Non REM
165,06/15/2021 12:12:35,06/15/2021 12:12:38,2,Non REM
166,06/15/2021 12:12:38,06/15/2021 12:12:41,2,Non REM
167,06/15/2021 12:12:41,06/15/2021 12:12:44,2,Non REM
168,06/15/2021 12:12:44,06/15/2021 12:12:47,2,Non REM
169,06/15/2021 12:12:47,06/15/2021 12:12:50,2,Non REM
170,06/15/2021 12:12:50,06/15/2021 12:12:53,1,Wake
171,06/15/2021 12:12:53,06/15/2021 12:12:56,1,Wake
172,06/15/2021 12:12:56,06/15/2021 12:12:59,2,Non REM
173,06/15/2021 12:12:59,06/15/2021 12:13:02,2,Non REM
174,06/15/2021 12:13:02,06/15/2021 12:13:05,2,Non REM
175,06/15/2021 12:13:05,06/15/2021 12:13:08,1,Wake
176,06/15/2021 12:13:08,06/15/2021 12:13:11,1,Wake
177,06/15/2021 12:13:11,06/15/2021 12:13:14,1,Wake
178,06/15/2021 12:13:14,06/15/2021 12:13:17,1,Wake
179,06/15/2021 12:13:17,06/15/2021 12:13:20,1,Wake
180,06/15/2021 12:13:20,06/15/2021 12:13:23,1,Wake
181,06/15/2021 12:13:23,06/15/2021 12:13:26,1,Wake
182,06/15/2021 12:13:26,06/15/2021 12:13:29,1,Wake
183,06/15/2021 12:13:29,06/15/2021 12:13:32,1,Wake
184,06/15/2021 12:13:32,06/15/2021 12:13:35,1,Wake
185,06/15/2021 12:13:35,06/15/2021 12:13:38,1,Wake
186,06/15/2021 12:13:38,06/15/2021 12:13:41,1,Wake
187,06/15/2021 12:13:41,06/15/2021 12:13:44,1,Wake
188,06/15/2021 12:13:44,06/15/2021 12:13:47,1,Wake
189,06/15/2021 12:13:47,06/15/2021 12:13:50,1,Wake
190,06/15/2021 12:13:50,06/15/2021 12:13:53,1,Wake
191,06/15/2021 12:13:53,06/15/2021 12:13:56,1,Wake
192,06/15/2021 12:13:56,06/15/2021 12:13:59,1,Wake
193,06/15/2021 12:13:59,06/15/2021 12:14:02,1,Wake
194,06/15/2021 12:14:02,06/15/2021 12:14:05,1,Wake
195,06/15/2021 12:14:05,06/15/2021 12:14:08,1,Wake
196,06/15/2021 12:14:08,06/15/2021 12:14:11,1,Wake
197,06/15/2021 12:14:11,06/15/2021 12:14:14,1,Wake
198,06/15/2021 12:14:14,06/15/2021 12:14:17,1,Wake
199,06/15/2021 12:14:17,06/15/2021 12:14:20,1,Wake
200,06/15/2021 12:14:20,06/15/2021 12:14:23,1,Wake
201,06/15/2021 12:14:23,06/15/2021 12:14:26,1,Wake
202,06/15/2021 12:14:26,06/15/2021 12:14:29,1,Wake
203,06/15/2021 12:14:29,06/15/2021 12:14:32,1,Wake
204,06/15/2021 12:14:32,06/15/2021 12:14:35,1,Wake
205,06/15/2021 12:14:35,06/15/2021 12:14:38,1,Wake
206,06/15/2021 12:14:38,06/15/2021 12:14:41,1,Wake
207,06/15/2021 12:14:41,06/15/2021 12:14:44,1,Wake
208,06/15/2021 12:14:44,06/15/2021 12:14:47,1,Wake
209,06/15/2021 12:14:47,06/15/2021 12:14:50,1,Wake
210,06/15/2021 12:14:50,06/15/2021 12:14:53,1,Wake
211,06/15/2021 12:14:53,06/15/2021 12:14:56,1,Wake
212,06/15/2021 12:14:56,06/15/2021 12:14:59,1,Wake
213,06/15/2021 12:14:59,06/15/2021 12:15:02,1,Wake
214,06/15/2021 12:15:02,06/15/2021 12:15:05,1,Wake
215,06/15/2021 12:15:05,06/15/2021 12:15:08,1,Wake
216,06/15/2021 12:15:08,06/15/2021 12:15:11,1,Wake
217,06/15/2021 12:15:11,06/15/2021 12:15:14,1,Wake
218,06/15/2021 12:15:14,06/15/2021 12:15:17,1,Wake
219,06/15/2021 12:15:17,06/15/2021 12:15:20,1,Wake
220,06/15/2021 12:15:20,06/15/2021 12:15:23,1,Wake
221,06/15/2021 12:15:23,06/15/2021 12:15:26,1,Wake
222,06/15/2021 12:15:26,06/15/2021 12:15:29,1,Wake
223,06/15/2021 12:15:29,06/15/2021 12:15:32,1,Wake
224,06/15/2021 12:15:32,06/15/2021 12:15:35,1,Wake
225,06/15/2021 12:15:35,06/15/2021 12:15:38,1,Wake
226,06/15/2021 12:15:38,06/15/2021 12:15:41,1,Wake
227,06/15/2021 12:15:41,06/15/2021 12:15:44,1,Wake
228,06/15/2021 12:15:44,06/15/2021 12:15:47,1,Wake
229,06/15/2021 12:15:47,06/15/2021 12:15:50,2,Non REM
230,06/15/2021 12:15:50,06/15/2021 12:15:53,2,Non REM
231,06/15/2021 12:15:53,06/15/2021 12:15:56,2,Non REM
232,06/15/2021 12:15:56,06/15/2021 12:15:59,2,Non REM
233,06/15/2021 12:15:59,06/15/2021 12:16:02,2,Non REM
234,06/15/2021 12:16:02,06/15/2021 12:16:05,2,Non REM
235,06/15/2021 12:16:05,06/15/2021 12:16:08,2,Non REM
236,06/15/2021 12:16:08,06/15/2021 12:16:11,2,Non REM
237,06/15/2021 12:16:11,06/15/2021 12:16:14,2,Non REM
238,06/15/2021 12:16:14,06/15/2021 12:16:17,2,Non REM
239,06/15/2021 12:16:17,06/15/2021 12:16:20,2,Non REM
240,06/15/2021 12:16:20,06/15/2021 12:16:23,2,Non REM
241,06/15/2021 12:16:23,06/15/2021 12:16:26,2,Non REM
242,06/15/2021 12:16:26,06/15/2021 12:16:29,2,Non REM
243,06/15/2021 12:16:29,06/15/2021 12:16:32,2,Non REM
244,06/15/2021 12:16:32,06/15/2021 12:16:35,2,Non REM
245,06/15/2021 12:16:35,06/15/2021 12:16:38,2,Non REM
246,06/15/2021 12:16:38,06/15/2021 12:16:41,2,Non REM
247,06/15/2021 12:16:41,06/15/2021 12:16:44,2,Non REM
248,06/15/2021 12:16:44,06/15/2021 12:16:47,2,Non REM
249,06/15/2021 12:16:47,06/15/2021 12:16:50,2,Non REM
250,06/15/2021 12:16:50,06/15/2021 12:16:53,2,Non REM
251,06/15/2021 12:16:53,06/15/2021 12:16:56,2,Non REM
252,06/15/2021 12:16:56,06/15/2021 12:16:59,2,Non REM
253,06/15/2021 12:16:59,06/15/2021 12:17:02,2,Non REM
254,06/15/2021 12:17:02,06/15/2021 12:17:05,2,Non REM
255,06/15/2021 12:17:05,06/15/2021 12:17:08,2,Non REM
256,06/15/2021 12:17:08,06/15/2021 12:17:11,2,Non REM
257,06/15/2021 12:17:11,06/15/2021 12:17:14,2,Non REM
258,06/15/2021 12:17:14,06/15/2021 12:17:17,2,Non REM
259,06/15/2021 12:17:17,06/15/2021 12:17:20,2,Non REM
260,06/15/2021 12:17:20,06/15/2021 12:17:23,2,Non REM
261,06/15/2021 12:17:23,06/15/2021 12:17:26,2,Non REM
262,06/15/2021 12:17:26,06/15/2021 12:17:29,2,Non REM
263,06/15/2021 12:17:29,06/15/2021 12:17:32,1,Wake
264,06/15/2021 12:17:32,06/15/2021 12:17:35,1,Wake
265,06/15/2021 12:17:35,06/15/2021 12:17:38,1,Wake
266,06/15/2021 12:17:38,06/15/2021 12:17:41,1,Wake
267,06/15/2021 12:17:41,06/15/2021 12:17:44,1,Wake
268,06/15/2021 12:17:44,06/15/2021 12:17:47,1,Wake
269,06/15/2021 12:17:47,06/15/2021 12:17:50,1,Wake
270,06/15/2021 12:17:50,06/15/2021 12:17:53,1,Wake
271,06/15/2021 12:17:53,06/15/2021 12:17:56,1,Wake
272,06/15/2021 12:17:56,06/15/2021 12:17:59,1,Wake
273,06/15/2021 12:17:59,06/15/2021 12:18:02,1,Wake
274,06/15/2021 12:18:02,06/15/2021 12:18:05,1,Wake
275,06/15/2021 12:18:05,06/15/2021 12:18:08,1,Wake
276,06/15/2021 12:18:08,06/15/2021 12:18:11,1,Wake
277,06/15/2021 12:18:11,06/15/2021 12:18:14,1,Wake
278,06/15/2021 12:18:14,06/15/2021 12:18:17,1,Wake
279,06/15/2021 12:18:17,06/15/2021 12:18:20,1,Wake
280,06/15/2021 12:18:20,06/15/2021 12:18:23,1,Wake
281,06/15/2021 12:18:23,06/15/2021 12:18:26,1,Wake
282,06/15/2021 12:18:26,06/15/2021 12:18:29,1,Wake
283,06/15/2021 12:18:29,06/15/2021 12:18:32,1,Wake
284,06/15/2021 12:18:32,06/15/2021 12:18:35,1,Wake
285,06/15/2021 12:18:35,06/15/2021 12:18:38,1,Wake
286,06/15/2021 12:18:38,06/15/2021 12:18:41,1,Wake
287,06/15/2021 12:18:41,06/15/2021 12:18:44,1,Wake
288,06/15/2021 12:18:44,06/15/2021 12:18:47,1,Wake
289,06/15/2021 12:18:47,06/15/2021 12:18:50,1,Wake
290,06/15/2021 12:18:50,06/15/2021 12:18:53,1,Wake
291,06/15/2021 12:18:53,06/15/2021 12:18:56,1,Wake
292,06/15/2021 12:18:56,06/15/2021 12:18:59,1,Wake
293,06/15/2021 12:18:59,06/15/2021 12:19:02,1,Wake
294,06/15/2021 12:19:02,06/15/2021 12:19:05,1,Wake
295,06/15/2021 12:19:05,06/15/2021 12:19:08,1,Wake
296,06/15/2021 12:19:08,06/15/2021 12:19:11,1,Wake
297,06/15/2021 12:19:11,06/15/2021 12:19:14,1,Wake
298,06/15/2021 12:19:14,06/15/2021 12:19:17,1,Wake
299,06/15/2021 12:19:17,06/15/2021 12:19:20,1,Wake
300,06/15/2021 12:19:20,06/15/2021 12:19:23,1,Wake
301,06/15/2021 12:19:23,06/15/2021 12:19:26,1,Wake
302,06/15/2021 12:19:26,06/15/2021 12:19:29,1,Wake
303,06/15/2021 12:19:29,06/15/2021 12:19:32,1,Wake
304,06/15/2021 12:19:32,06/15/2021 12:19:35,1,Wake
305,06/15/2021 12:19:35,06/15/2021 12:19:38,1,Wake
306,06/15/2021 12:19:38,06/15/2021 12:19:41,1,Wake
307,06/15/2021 12:19:41,06/15/2021 12:19:44,1,Wake
308,06/15/2021 12:19:44,06/15/2021 12:19:47,1,Wake
309,06/15/2021 12:19:47,06/15/2021 12:19:50,1,Wake
310,06/15/2021 12:19:50,06/15/2021 12:19:53,1,Wake
311,06/15/2021 12:19:53,06/15/2021 12:19:56,1,Wake
312,06/15/2021 12:19:56,06/15/2021 12:19:59,1,Wake
313,06/15/2021 12:19:59,06/15/2021 12:20:02,1,Wake
314,06/15/2021 12:20:02,06/15/2021 12:20:05,1,Wake
315,06/15/2021 12:20:05,06/15/2021 12:20:08,1,Wake
316,06/15/2021 12:20:08,06/15/2021 12:20:11,1,Wake
317,06/15/2021 12:20:11,06/15/2021 12:20:14,1,Wake
318,06/15/2021 12:20:14,06/15/2021 12:20:17,1,Wake
