filename,mouse
1MCH001_image_MCH 4mice.csv,a
1MCH002_image_MCH 4mice.csv,a
1MCH003_image_MCH 4mice.csv,a
1MCH004_image_MCH 4mice.csv,a
1MCH005_image_MCH 4mice.csv,a
1MCH006_image_MCH 4mice.csv,a
1MCH007_image_MCH 4mice.csv,a
1MCH008_image_MCH 4mice.csv,a
1MCH009_image_MCH 4mice.csv,a
2MCH001_image_MCH 4mice.csv,b
2MCH002_image_MCH 4mice.csv,b
2MCH003_image_MCH 4mice.csv,b
2MCH004_image_MCH 4mice.csv,b
2MCH005_image_MCH 4mice.csv,b
2MCH006_image_MCH 4mice.csv,b
2MCH007_image_MCH 4mice.csv,b
2MCH008_image_MCH 4mice.csv,b
18084_MCH002image_MCH 4mice.csv,c
18084MCH001_MCH 4mice.csv,c
18103_MCH_002_image_MCH 4mice.csv,d
18103_MCH_003_image_MCH 4mice.csv,d
18103MCH001_image_MCH 4mice.csv,d
18103MCH006_image_MCH 4mice.csv,d
18103MCH007_image_MCH 4mice.csv,d
