,3,region
FRP,0,CORT
MO,353.6666667,CORT
SS,2443.661111,CORT
GU,2575.160539,CORT
VISC,0,CORT
AUD,4940.568873,CORT
VIS,0,CORT
ACA,0,CORT
PL,0,CORT
ILA,0,CORT
ORB,0,CORT
AI,0,CORT
RSP,0,CORT
PTLp,0,CORT
TEa,0,CORT
PERI,0,CORT
ECT,0,CORT
OLF,6238.520833,CORT
MOB,0,CORT
AOB,0,CORT
AON,0,CORT
TT,0,CORT
DP,0,CORT
PIR,763,CORT
NLOT,20411.98333,CORT
COA,777.2916667,CORT
PAA,2640.775926,CORT
TR,0,CORT
HPF,0,HIPP
HIP,0,HIPP
CA,0,HIPP
DG,1084.020833,HIPP
FC,0,HIPP
IG,0,HIPP
RHP,0,HIPP
ENT,0,HIPP
PAR,0,HIPP
POST,0,HIPP
PRE,0,HIPP
SUB,0,HIPP
ProS,0,HIPP
HATA,0,HIPP
APr,0,HIPP
CAL,0,CORT
EP,0,AMYG
LA,0,AMYG
BLA,0,AMYG
BMA,441.7291667,AMYG
PA,0,AMYG
BF,50726.43179,CEREB
STR,29226.74469,CEREB
LSX,0,CEREB
sAMY,9359.375,CEREB
FN,0,CEREBELLUM
IP,0,CEREBELLUM
DN,0,CEREBELLUM
VeCB,0,CEREBELLUM
VERM,0,CEREBELLUM
HEM,0,CEREBELLUM
ASO,0,HYP
SO,0,HYP
PVH,0,HYP
PVa,0,HYP
PVi,0,HYP
ARH,0,HYP
ADP,0,HYP
AVP,0,HYP
AVPV,0,HYP
DMH,0,HYP
MEPO,0,HYP
MPO,3865.253676,HYP
OV,0,HYP
PD,0,HYP
PS,0,HYP
PVp,0,HYP
PVpo,0,HYP
SBPV,0,HYP
SCH,0,HYP
SFO,0,HYP
VMPO,0,HYP
VLPO,0,HYP
AHN,0,HYP
MBO,0,HYP
MPN,0,HYP
PMd,0,HYP
PMv,0,HYP
PVH,0,HYP
VMH,0,HYP
PH,889.6902778,HYP
LH,7141.155556,HYP
LPO,1904.993056,HYP
PST,0,HYP
PSTN,0,HYP
PeF,0,HYP
RCH,0,HYP
STN,0,HYP
TU,0,HYP
ZI,57789.98922,HYP
ME,0,HYP
VENT,24390.83913,THAL
SPF,620.9166667,THAL
SPA,1740.165686,THAL
PP,0,THAL
GENd,0,THAL
LAT,564.1360294,THAL
ATN,0,THAL
MED,6975.154377,THAL
PVT,1245.64881,THAL
ILM,7018.071569,THAL
RT,0,THAL
GENv,0,THAL
EPI,0,THAL
SNr,976.125,MID
VTA,775.25,MID
PNG,3196.741667,MID
RR,2318.1625,MID
MRN,42633.24069,MID
SCm,0,MID
PAG,6705.770833,MID
PRT,0,MID
CUN,0,MID
RN,11979.66806,MID
III,521.8125,MID
MA3,258.75,MID
EW,353.5,MID
IV,0,MID
Pa4,427.7291667,MID
VTN,0,MID
AT,1106.416667,MID
LT,0,MID
DT,0,MID
MT,0,MID
SCs,0,MID
IC,0,MID
NB,0,MID
SAG,0,MID
PBG,0,MID
MEV,0,MID
SCO,0,MID
SNc,104.2083333,MID
PPN,1309.458333,MID
RAmb,124492.5832,MID
AP,0,MEDULLA
CN,0,MEDULLA
DCN,0,MEDULLA
ECU,0,MEDULLA
NTB,0,MEDULLA
NTS,0,MEDULLA
SPVC,0,MEDULLA
SPVI,0,MEDULLA
SPVO,0,MEDULLA
Pa5,0,MEDULLA
VI,0,MEDULLA
VII,0,MEDULLA
ACVII,0,MEDULLA
AMB,0,MEDULLA
DMX,0,MEDULLA
GRN,0,MEDULLA
ICB,0,MEDULLA
IO,0,MEDULLA
IRN,0,MEDULLA
ISN,0,MEDULLA
LIN,0,MEDULLA
LRN,0,MEDULLA
MARN,0,MEDULLA
MDRN,0,MEDULLA
PARN,0,MEDULLA
PAS,0,MEDULLA
PGRN,0,MEDULLA
PHY,0,MEDULLA
PPY,0,MEDULLA
VNC,0,MEDULLA
x,0,MEDULLA
XII,0,MEDULLA
y,0,MEDULLA
RM,0,MEDULLA
RPA,0,MEDULLA
RO,0,MEDULLA
NLL,0,PONS
PSV,0,PONS
PB,0,PONS
SOC,0,PONS
B,0,PONS
DTN,0,PONS
PDTg,0,PONS
PRNc,0,PONS
PZ,0,PONS
PG,1163.736111,PONS
SG,0,PONS
SUT,0,PONS
V,0,PONS
P5,0,PONS
Acs5,0,PONS
PC5,0,PONS
I5,0,PONS
CS,89868.03725,PONS
LC,0,PONS
LDT,0,PONS
NI,0,PONS
PRNr,29945.95833,PONS
RPO,0,PONS
SLC,0,PONS
SLD,0,PONS
